 C, MCS, D
  0.7000000     ,          21 ,  5.7321437E-02
  0.7000000     ,          22 ,  5.7357956E-02
  0.7000000     ,          23 ,  5.7201084E-02
  0.7000000     ,          24 ,  5.8180809E-02
  0.7000000     ,          25 ,  5.7971422E-02
  0.7000000     ,          26 ,  5.8995530E-02
  0.7000000     ,          27 ,  5.8171295E-02
  0.7000000     ,          28 ,  5.7522323E-02
  0.7000000     ,          29 ,  5.8400556E-02
  0.7000000     ,          30 ,  5.6422625E-02
  0.7000000     ,          31 ,  5.7402078E-02
  0.7000000     ,          32 ,  5.8685821E-02
  0.7000000     ,          33 ,  5.8946170E-02
  0.7000000     ,          34 ,  5.9092704E-02
  0.7000000     ,          35 ,  5.6139037E-02
  0.7000000     ,          36 ,  5.6481898E-02
  0.7000000     ,          37 ,  5.6999270E-02
  0.7000000     ,          38 ,  5.6197129E-02
  0.7000000     ,          39 ,  5.7342034E-02
  0.7000000     ,          40 ,  5.7492185E-02
  0.7000000     ,          41 ,  5.7050299E-02
  0.7000000     ,          42 ,  5.7520196E-02
  0.7000000     ,          43 ,  5.7553984E-02
  0.7000000     ,          44 ,  5.6899354E-02
  0.7000000     ,          45 ,  5.7578377E-02
  0.7000000     ,          46 ,  5.6220885E-02
  0.7000000     ,          47 ,  5.6543503E-02
  0.7000000     ,          48 ,  5.6892667E-02
  0.7000000     ,          49 ,  5.5671468E-02
  0.7000000     ,          50 ,  5.5483934E-02
  0.8000001     ,           1 ,  4.9921870E-02
  0.8000001     ,           2 ,  4.6855472E-02
  0.8000001     ,           3 ,  4.4153642E-02
  0.8000001     ,           4 ,  4.1347660E-02
  0.8000001     ,           5 ,  4.1367188E-02
  0.8000001     ,           6 ,  4.1881513E-02
  0.8000001     ,           7 ,  4.0569194E-02
  0.8000001     ,           8 ,  3.9731450E-02
  0.8000001     ,           9 ,  3.8967013E-02
  0.8000001     ,          10 ,  3.8859375E-02
  0.8000001     ,          11 ,  3.8767755E-02
  0.8000001     ,          12 ,  3.8232420E-02
  0.8000001     ,          13 ,  3.8599763E-02
  0.8000001     ,          14 ,  3.8091518E-02
  0.8000001     ,          15 ,  3.7338540E-02
  0.8000001     ,          16 ,  3.9101563E-02
  0.8000001     ,          17 ,  3.7412684E-02
  0.8000001     ,          18 ,  3.6399737E-02
  0.8000001     ,          19 ,  3.8213406E-02
  0.8000001     ,          20 ,  3.7820309E-02
  0.8000001     ,          21 ,  3.7263766E-02
  0.8000001     ,          22 ,  3.7159089E-02
  0.8000001     ,          23 ,  3.6435120E-02
  0.8000001     ,          24 ,  3.7495121E-02
  0.8000001     ,          25 ,  3.7731245E-02
  0.8000001     ,          26 ,  3.6502406E-02
  0.8000001     ,          27 ,  3.7196182E-02
  0.8000001     ,          28 ,  3.6236048E-02
  0.8000001     ,          29 ,  3.7035294E-02
  0.8000001     ,          30 ,  3.5863280E-02
  0.8000001     ,          31 ,  3.6020659E-02
  0.8000001     ,          32 ,  3.5549317E-02
  0.8000001     ,          33 ,  3.6206204E-02
  0.8000001     ,          34 ,  3.6295950E-02
  0.8000001     ,          35 ,  3.5914060E-02
  0.8000001     ,          36 ,  3.5258248E-02
  0.8000001     ,          37 ,  3.4961991E-02
  0.8000001     ,          38 ,  3.6114309E-02
  0.8000001     ,          39 ,  3.6428288E-02
  0.8000001     ,          40 ,  3.6066405E-02
  0.8000001     ,          41 ,  3.5912730E-02
  0.8000001     ,          42 ,  3.6594123E-02
  0.8000001     ,          43 ,  3.5318855E-02
  0.8000001     ,          44 ,  3.5775922E-02
  0.8000001     ,          45 ,  3.5172742E-02
  0.8000001     ,          46 ,  3.6818955E-02
  0.8000001     ,          47 ,  3.5538565E-02
  0.8000001     ,          48 ,  3.6236975E-02
  0.8000001     ,          49 ,  3.5301339E-02
  0.8000001     ,          50 ,  3.5329688E-02
  0.9000001     ,           1 ,  2.5486115E-02
  0.9000001     ,           2 ,  2.2170138E-02
  0.9000001     ,           3 ,  2.1643518E-02
  0.9000001     ,           4 ,  2.0225694E-02
  0.9000001     ,           5 ,  1.9847222E-02
  0.9000001     ,           6 ,  1.9890048E-02
  0.9000001     ,           7 ,  1.9122023E-02
  0.9000001     ,           8 ,  1.8819446E-02
  0.9000001     ,           9 ,  1.9116513E-02
  0.9000001     ,          10 ,  1.8503470E-02
  0.9000001     ,          11 ,  1.8974112E-02
  0.9000001     ,          12 ,  1.8518521E-02
  0.9000001     ,          13 ,  1.7598825E-02
  0.9000001     ,          14 ,  1.8516868E-02
  0.9000001     ,          15 ,  1.8303243E-02
  0.9000001     ,          16 ,  1.8027343E-02
  0.9000001     ,          17 ,  1.7800244E-02
  0.9000001     ,          18 ,  1.8146221E-02
  0.9000001     ,          19 ,  1.8101243E-02
  0.9000001     ,          20 ,  1.8241320E-02
  0.9000001     ,          21 ,  1.7759589E-02
  0.9000001     ,          22 ,  1.7700441E-02
  0.9000001     ,          23 ,  1.7320350E-02
  0.9000001     ,          24 ,  1.7717013E-02
  0.9000001     ,          25 ,  1.6881945E-02
  0.9000001     ,          26 ,  1.7274307E-02
  0.9000001     ,          27 ,  1.7300667E-02
  0.9000001     ,          28 ,  1.7163942E-02
  0.9000001     ,          29 ,  1.8020831E-02
  0.9000001     ,          30 ,  1.7422456E-02
  0.9000001     ,          31 ,  1.7315188E-02
  0.9000001     ,          32 ,  1.7758247E-02
  0.9000001     ,          33 ,  1.7202228E-02
  0.9000001     ,          34 ,  1.7571487E-02
  0.9000001     ,          35 ,  1.7395834E-02
  0.9000001     ,          36 ,  1.7505787E-02
  0.9000001     ,          37 ,  1.7143395E-02
  0.9000001     ,          38 ,  1.7153693E-02
  0.9000001     ,          39 ,  1.6974716E-02
  0.9000001     ,          40 ,  1.7465279E-02
  0.9000001     ,          41 ,  1.7245088E-02
  0.9000001     ,          42 ,  1.6918816E-02
  0.9000001     ,          43 ,  1.7042153E-02
  0.9000001     ,          44 ,  1.7275883E-02
  0.9000001     ,          45 ,  1.7354168E-02
  0.9000001     ,          46 ,  1.6831219E-02
  0.9000001     ,          47 ,  1.7037529E-02
  0.9000001     ,          48 ,  1.6986400E-02
