k,m
132500,0.88
132600,0.96
132700,1.0
132800,0.9
132900,1.0
133000,0.96
133100,1.0
133200,0.94
133300,0.94
133400,1.0
133500,0.96
133600,0.98
133700,0.98
133800,0.88
133900,0.86
134000,0.98
134100,0.98
134200,0.94
134300,1.0
134400,0.96
134500,0.94
134600,1.0
134700,0.96
134800,0.94
134900,1.0
135000,1.0
135100,1.0
135200,0.9
135300,0.96
135400,0.92
135500,0.94
135600,0.96
135700,0.96
135800,0.96
135900,0.96
136000,1.0
136100,0.94
136200,1.0
136300,1.0
136400,0.94
136500,1.0
136600,0.92
136700,0.96
136800,1.0
136900,0.98
137000,0.98
137100,0.98
137200,0.96
137300,0.98
137400,0.94
137500,1.0
137600,0.98
137700,0.96
137800,0.9
137900,1.0
138000,1.0
138100,0.98
138200,0.98
138300,0.96
138400,1.0
138500,0.98
138600,0.94
138700,1.0
138800,0.96
138900,1.0
139000,1.0
139100,0.94
139200,1.0
139300,0.96
139400,1.0
139500,0.96
139600,0.98
139700,0.98
139800,0.86
139900,1.0
140000,1.0
140100,1.0
140200,0.98
140300,0.96
140400,0.98
140500,1.0
140600,0.94
140700,0.96
140800,1.0
140900,0.98
141000,0.98
141100,0.96
141200,1.0
141300,1.0
141400,0.92
141500,1.0
141600,0.96
141700,0.98
141800,0.96
141900,0.98
142000,1.0
142100,0.98
142200,1.0
142300,0.98
142400,1.0
142500,0.96
142600,0.98
142700,0.94
142800,1.0
142900,1.0
143000,1.0
143100,1.0
143200,1.0
143300,0.92
143400,1.0
143500,1.0
143600,0.98
143700,0.98
143800,0.94
143900,0.96
144000,0.96
144100,1.0
144200,0.96
144300,0.98
144400,0.98
144500,0.9
144600,1.0
144700,0.92
144800,0.9
144900,1.0
145000,1.0
145100,0.94
145200,1.0
145300,1.0
145400,1.0
145500,0.94
145600,1.0
145700,0.96
145800,0.94
145900,1.0
146000,0.92
146100,1.0
146200,1.0
146300,0.94
146400,0.98
146500,0.96
146600,0.96
146700,0.94
146800,0.96
146900,1.0
147000,0.96
147100,0.98
147200,1.0
147300,0.92
147400,1.0
147500,0.98
147600,0.98
147700,1.0
147800,1.0
147900,1.0
148000,0.96
148100,0.98
148200,0.96
148300,1.0
148400,0.98
148500,0.96
148600,1.0
148700,1.0
148800,0.96
148900,1.0
149000,0.92
149100,1.0
149200,1.0
149300,0.98
149400,0.96
149500,1.0
149600,0.98
149700,0.98
149800,0.98
149900,1.0
150000,0.98
150100,1.0
150200,0.9
150300,0.98
150400,0.96
150500,0.98
150600,0.9
150700,1.0
150800,1.0
150900,0.98
151000,0.9
151100,0.98
151200,0.88
151300,0.98
151400,1.0
151500,0.86
151600,1.0
151700,0.98
151800,0.98
151900,0.96
152000,1.0
152100,0.92
152200,0.9
152300,0.98
152400,0.98
152500,1.0
152600,0.98
152700,0.96
152800,0.98
152900,1.0
153000,1.0
153100,0.98
153200,0.98
153300,0.98
153400,0.96
153500,0.98
153600,0.88
153700,0.98
153800,1.0
153900,0.98
154000,0.94
154100,0.96
154200,0.98
154300,0.98
154400,0.96
154500,1.0
154600,0.98
154700,0.92
154800,0.98
154900,0.9
155000,1.0
155100,1.0
155200,0.96
155300,0.96
155400,0.96
155500,0.88
155600,0.96
