 T, m
   2.382000     ,  0.4255473    
   2.383800     ,  0.4231665    
   2.385600     ,  0.4132181    
   2.387400     ,  0.4149686    
   2.389200     ,  0.4096636    
   2.391000     ,  0.4037717    
   2.392800     ,  0.4042338    
   2.394600     ,  0.3975579    
   2.396400     ,  0.3898839    
   2.398200     ,  0.3923827    
   2.400000     ,  0.3811304    
   2.401800     ,  0.3853781    
   2.403600     ,  0.3791294    
   2.405400     ,  0.3727286    
   2.407200     ,  0.3778081    
   2.409000     ,  0.3722710    
   2.410800     ,  0.3711689    
   2.412600     ,  0.3627438    
   2.414400     ,  0.3687780    
   2.416200     ,  0.3607509    
   2.418000     ,  0.3561766    
   2.419800     ,  0.3532377    
   2.421600     ,  0.3557236    
   2.423400     ,  0.3491193    
   2.425200     ,  0.3430766    
   2.427000     ,  0.3432357    
   2.428800     ,  0.3344197    
   2.430600     ,  0.3370644    
   2.432400     ,  0.3339403    
   2.434200     ,  0.3333004    
   2.436000     ,  0.3301869    
   2.437800     ,  0.3270206    
   2.439600     ,  0.3264373    
   2.441400     ,  0.3234525    
   2.443200     ,  0.3193526    
   2.445000     ,  0.3117448    
   2.446800     ,  0.3159246    
   2.448600     ,  0.3103738    
   2.450400     ,  0.3147383    
   2.452200     ,  0.3094929    
   2.454000     ,  0.3061272    
   2.455800     ,  0.3069472    
   2.457600     ,  0.3031000    
   2.459400     ,  0.2985626    
   2.461200     ,  0.2970710    
   2.463000     ,  0.2924542    
   2.464800     ,  0.2947965    
   2.466600     ,  0.2910957    
   2.468400     ,  0.2895004    
   2.470200     ,  0.2882140    
   2.472000     ,  0.2825924    
   2.473800     ,  0.2843166    
   2.475600     ,  0.2868653    
   2.477400     ,  0.2747285    
   2.479200     ,  0.2788955    
   2.481000     ,  0.2796303    
   2.482800     ,  0.2776034    
   2.484600     ,  0.2738003    
   2.486400     ,  0.2700043    
   2.488200     ,  0.2667378    
   2.490000     ,  0.2693017    
   2.491800     ,  0.2620283    
   2.493600     ,  0.2656245    
   2.495400     ,  0.2647039    
   2.497200     ,  0.2593673    
   2.499000     ,  0.2570300    
   2.500800     ,  0.2574545    
   2.502600     ,  0.2508510    
   2.504400     ,  0.2529205    
   2.506200     ,  0.2517349    
   2.508000     ,  0.2540778    
   2.509800     ,  0.2545785    
   2.511600     ,  0.2465781    
   2.513400     ,  0.2422487    
   2.515200     ,  0.2492371    
   2.517000     ,  0.2463171    
   2.518800     ,  0.2422777    
   2.520600     ,  0.2395051    
   2.522400     ,  0.2396211    
   2.524200     ,  0.2401783    
   2.526000     ,  0.2348514    
   2.527800     ,  0.2310468    
   2.529600     ,  0.2364319    
   2.531400     ,  0.2325599    
   2.533200     ,  0.2316948    
   2.535000     ,  0.2306341    
